evidence_id,name_token,normalized_token,proposed_association,association_type,evidence_type,evidence_strength,evidence_statement,source_id,source_location,source_quote_or_excerpt,interpretation_note,alternative_associations,position_scope,reviewer,review_status,date_added,notes
E6B2-MWANGI-01,MWANGI,MWANGI,Kikuyu,community/linguistic association,naming_system,strong,"Secondary references identify Benson's Kikuyu-English Dictionary as discussing Mwangi in Kikuyu naming history or generation terminology.",SRC_STAGE6_BENSON_1964,not_verified,,"This is a provisional research lead; the cited dictionary page and exact statement require direct verification.",,any_position,,needs_review,2026-09-02,No direct dictionary page was available for verification.
E6B2-OTIENO-01,OTIENO,OTIENO,Luo,community/linguistic association,naming_system,strong,"Available indexed research material describes Otieno as a Dholuo time-of-birth naming form associated with birth after sunset.",SRC_STAGE6_DHOLUO_TOPONYMS,not_verified,,"The statement is retained as indexed-source evidence pending direct verification; it is not an exclusive identity claim.",,any_position,,needs_review,2026-09-02,Exact page and quotation were not available.
E6B2-OTIENO-02,OTIENO,OTIENO,Luo,community/linguistic association,naming_system,strong,"An indexed naming table is described as associating Otieno or Atieno with night in Luo naming practice.",SRC_STAGE6_LUO_NAMING_LANDSCAPE_2020,not_verified,,"Corroborative indexed evidence; exact table location and wording require direct verification.",,any_position,,needs_review,2026-09-02,No page number or quotation invented.
E6B2-MAINA-01,MAINA,MAINA,Kikuyu,community/linguistic association,naming_system,strong,"Secondary references identify Benson's Kikuyu-English Dictionary as discussing Maina in Kikuyu naming history or generation terminology.",SRC_STAGE6_BENSON_1964,not_verified,,"This is a provisional research lead; the cited dictionary page and exact statement require direct verification.",,any_position,,needs_review,2026-09-02,No direct dictionary page was available for verification.
E6B2-KAMAU-01,KAMAU,KAMAU,Kikuyu,community/linguistic association,community_documentation,moderate,"Specialist naming-reference material was identified as relevant to Kamau and Kikuyu naming association.",SRC_STAGE6_BEHINDTHENAME,not_verified,,"Corroborative reference lead only; the exact entry and underlying documentation require review.",,any_position,,needs_review,2026-09-02,Not upgraded based on dataset frequency.
E6B2-ONYANGO-01,ONYANGO,ONYANGO,Luo,community/linguistic association,naming_system,strong,"Available indexed research material describes Onyango as a Dholuo time-of-birth naming form associated with approximately 7-10 am.",SRC_STAGE6_DHOLUO_TOPONYMS,not_verified,,"The statement is retained as indexed-source evidence pending direct verification; it is not an exclusive identity claim.",,any_position,,needs_review,2026-09-02,Exact page and quotation were not available.
E6B2-ONYANGO-02,ONYANGO,ONYANGO,Luo,community/linguistic association,naming_system,strong,"Indexed material on Southern Luo naming is described as including Onyango or Anyango among traditional time-of-birth naming forms.",SRC_STAGE6_SOUTHERN_LUO,not_verified,,"The indexed summary is not treated as a verified page-182 quotation.",,any_position,,needs_review,2026-09-02,Page 182 was not independently verified.
E6B2-ODHIAMBO-01,ODHIAMBO,ODHIAMBO,Luo,community/linguistic association,naming_system,strong,"Available indexed research material describes Odhiambo as a Dholuo time-of-birth naming form associated with approximately 2-5 pm.",SRC_STAGE6_DHOLUO_TOPONYMS,not_verified,,"The statement is retained as indexed-source evidence pending direct verification; it is not an exclusive identity claim.",,any_position,,needs_review,2026-09-02,Exact page and quotation were not available.
E6B2-ODHIAMBO-02,ODHIAMBO,ODHIAMBO,Luo,community/linguistic association,naming_system,strong,"Indexed material on Southern Luo naming is described as including Odhiambo or Adhiambo among traditional time-of-birth naming forms.",SRC_STAGE6_SOUTHERN_LUO,not_verified,,"The indexed summary is not treated as a verified page-182 quotation.",,any_position,,needs_review,2026-09-02,Page 182 was not independently verified.
E6B2-OCHIENG-01,OCHIENG,OCHIENG,Luo,community/linguistic association,naming_system,strong,"Available indexed research material describes Ochieng as a Dholuo time-of-birth naming form associated with approximately 11 am-1 pm.",SRC_STAGE6_DHOLUO_TOPONYMS,not_verified,,"The statement is retained as indexed-source evidence pending direct verification; it is not an exclusive identity claim.",,any_position,,needs_review,2026-09-02,Exact page and quotation were not available.
